101	80
111	50
121	30
131	30
141	40
151	30
161	30
171	30
181	20
191	50
201	50
211	60
221	70
231	80
241	100
251	90
261	100
271	150
281	90
291	100
301	140
311	120
321	160
331	170
341	230
351	270
361	200
371	210
381	260
391	612
401	250
411	340
421	530
431	410
441	420
451	560
461	480
471	970
481	790
491	1020
501	910
511	810
521	900
531	771
541	730
551	750
561	1030
571	1050
581	1050
591	1290
601	1200
611	2280
621	1260
631	1300
641	1270
651	1880
661	1720
671	3124
681	2420
691	1750
701	1850
711	2090
721	2250
731	2330
741	2620
751	3180
761	2510
771	2700
781	3130
791	3934
801	3240
811	3500
821	3711
831	4064
841	3680
851	7140
861	4570
871	4090
881	4430
891	4570
901	12692
911	6290
921	5000
931	5240
941	6430
951	6160
961	5961
971	9510
981	6770
991	11260
1001	6724
1011	18761
1021	11110
1031	8130
1041	12601
1051	15841
1061	10050
1071	8871
1081	14341
1091	22874
1101	11622
1111	12905
1121	13071
1131	14000
1141	17160
1151	12284
1161	12890
1171	21084
1181	13930
1191	28802
1201	17284
1211	14910
1221	23911
1231	16082
1241	17870
1251	33370
1261	19190
1271	18182
1281	20223
1291	24522
1301	27361
1311	20892
1321	22085
1331	25761
1341	27314
1351	21242
1361	25485
1371	38730
1381	33932
1391	30480
1401	32102
1411	27934
1421	64473
1431	47473
1441	37794
1451	32082
1461	43701
1471	68570
1481	57643
1491	33552
1501	39000
