2204	3826	1199	7558	
1789	3575	2410	7291	
3449	5050	4363	6951	
2346	3840	1557	7384	
2003	3277	1682	6864	
2583	3599	1940	6762	
2539	3516	1601	6260	
2265	3588	1471	6477	
4356	5194	4244	6704	
2274	4308	2160	8076	
2424	3703	1451	8179	
1557	2479	1666	5266	
2777	3370	1759	5432	
2757	3777	2728	6230	
2126	3292	1386	6160	
3961	5441	2665	7292	
3119	4303	1212	6836	
2451	3918	1733	6490	
2812	4509	2923	7951	
1810	2641	794	5111	
2532	4462	1627	8143	
3187	4217	1897	6212	
3264	4753	2219	8256	
2395	3978	1983	7670	
2661	4825	3831	7406	
2622	3984	1831	6888	
3843	5134	2571	7331	
3940	5333	3594	7030	
2197	3751	1523	7593	
2873	3672	1161	5809	
2864	3905	1712	6492	
2209	2815	1999	4808	
2535	3985	2729	6955	
3066	4384	2824	7548	
2389	3644	1951	6190	
2836	4444	2244	8310	
1957	2892	1928	5439	
3955	4968	2404	7503	
2073	3492	1368	6601	
1891	2993	2192	5438	
1699	2491	1165	5777	
2112	3492	1308	8170	
3243	4872	1419	8164	
2495	4354	1396	7707	
2482	3793	1595	6272	
2283	3818	1403	8432	
3159	4570	2033	7322	
3613	5226	2479	7862	
4652	5722	3985	7754	
2841	4727	2142	8045	
2036	3069	1218	6645	
1938	3081	1407	5805	
2640	3402	2060	5574	
2132	4410	2885	7941	
2476	3336	1511	7430	
3056	4408	1794	7362	
3051	4421	1840	7231	
1918	3527	1529	8385	
2318	3319	2085	5334	
3235	4874	1740	7618	
2589	4615	2409	7299	
2862	4379	2258	7804	
1843	2800	1878	5665	
3564	4805	2293	6848	
2165	3113	1559	6676	
2593	4148	2446	7553	
2498	3632	1305	6739	
2534	4066	742	8368	
2723	3845	2917	6696	
2336	3575	865	5445	
2372	3193	1636	5836	
1762	3206	1439	7689	
2995	4492	1512	6629	
2894	4509	2879	7807	
3165	4619	1406	8389	
2574	4204	2259	7981	
3339	4929	2477	6960	
2245	3471	1844	7174	
2146	3701	1288	8435	
1302	3105	1179	8331	
2691	3749	1611	6262	
2301	3839	1100	8441	
3010	4456	2591	8146	
2116	2859	1970	4407	
2911	4124	2070	6925	
1957	3874	1313	7859	
2577	4151	1608	8325	
3673	5457	3972	7925	
2775	4070	1894	6983	
2169	4016	2211	8302	
1706	3977	2057	7996	
2609	4085	856	7452	
2373	4725	2206	8136	
2626	3509	2058	5771	
2349	3159	1260	5489	
2986	4706	1652	7662	
3301	4510	2216	7372	
2168	3747	1213	8069	
2749	4527	1764	8078	
3332	4310	1805	7728	
