2252	3356	2547	5936	
3171	4730	1590	7679	
2235	3792	1779	7710	
2600	3965	1312	8354	
3525	4569	1986	6772	
1701	3467	917	8136	
3561	5219	2274	7869	
2404	3511	1884	6514	
2073	3184	1733	6782	
2504	3595	2629	6401	
2214	3107	1262	6702	
2562	3689	2082	6676	
3288	4968	1779	7965	
2746	4040	2161	7272	
2553	4228	1351	7866	
2651	3703	1607	6340	
2235	3580	1841	6042	
2620	3419	2155	5531	
2715	4797	1662	8101	
3878	5347	2661	7667	
1739	2673	987	6281	
2449	4018	1505	7850	
2458	3430	1836	5924	
3581	5240	1550	7889	
3678	4175	2266	5953	
2358	3510	2033	6496	
1906	4280	2276	7632	
2847	3828	2467	7061	
3382	4241	1392	6972	
2597	3790	1369	8008	
2672	4119	1506	6520	
2675	4475	1607	7381	
2338	3128	1851	5955	
1778	2333	1403	4553	
1680	3634	1911	7029	
2898	4481	1811	7874	
3394	3970	2588	6011	
2911	4993	1696	7342	
3001	4064	2321	6448	
2013	3143	1235	5861	
1733	2733	1115	6397	
3251	3759	2167	5377	
3400	5033	2505	7963	
2967	4030	2669	6780	
1588	3560	1870	7619	
1890	3001	1462	5766	
2773	4479	1728	7771	
4312	5542	4149	7856	
2930	4198	2261	6311	
3089	4570	2184	8142		
