101	70
111	50
121	70
131	60
141	50
151	50
161	90
171	100
181	120
191	100
201	190
211	160
221	220
231	180
241	390
251	250
261	280
271	320
281	320
291	520
301	400
311	540
321	951
331	610
341	1100
351	860
361	830
371	820
381	880
391	920
401	1060
411	2170
421	1260
431	1470
441	2630
451	2120
461	1840
471	1720
481	1841
491	1820
501	2190
511	2360
521	3450
531	2740
541	2650
551	2970
561	2980
571	3310
581	4520
591	4241
601	5441
611	4000
621	4141
631	5120
641	5661
651	5140
661	5290
671	6401
681	5670
691	5580
701	7001
711	6470
721	10901
731	7101
741	12000
751	8500
761	8661
771	11301
781	10942
791	16781
801	11456
811	11240
821	15764
831	11796
841	16649
851	12171
861	14391
871	22423
881	18460
891	14290
901	33521
911	30084
921	17181
931	30264
941	16742
951	17702
