101	70
121	50
141	40
161	40
181	50
201	40
221	40
241	70
261	100
281	220
301	130
321	170
341	190
361	210
381	310
401	570
421	390
441	570
461	690
481	670
501	670
521	750
541	1190
561	840
581	880
601	1004
621	1620
641	1610
661	2060
681	2310
701	2681
721	2620
741	3280
761	4750
781	4991
801	3670
821	4071
841	3980
861	4391
881	6200
901	5741
921	7090
941	5900
961	8030
981	7230
1001	8281
1021	8590
1041	8390
1061	8231
1081	16292
1101	12261
1121	10900
1141	15422
1161	17871
1181	18112
1201	30291
1221	18982
1241	32852
1261	29713
1281	21612
1301	24052
1321	21212
1341	20802
1361	37081
1381	23412
1401	37075
1421	35930
1441	35004
1461	34162
1481	32871
1501	34252
